2017,COM11,phaseA,PhaseB,PhaseC

,Current calibration

,fullscaleCurrent/500,0.2361,0.2361,0.2361
,Corresponding IRMS reg value,1457,1477,1617
,test current,35.7255,35.7255,35.7255
 ,Corresponding IRMS reg Value,590884,591108,591108
,IRMSOS,801.1883237057592762970858912,800.1155063919241644725955127,791.15078540483160166323503246

 ,Voltage Calibration

,Fullscale Voltage / 20,23.683333333333333333333333333,23.683333333333333333333333333,23.683333333333333333333333333
,Corresponding VRMS reg Value,116991,116970,117079
,test Voltage,225.4,225.4,225.4
,Corresponding VRMS reg Value,1084219,1087385,1085653
,VRMSOS,-53.590903340080971659919028365,-47.416181680161943319838056731,-52.496647267206477732793522292

 ,Phase Calibration

,Power at pf 1 at Itest and Vnom,22386,22468,22477
,Power at pf x at Itest and Vnom,7158,7193,7198
,Used Power factor,0.7857,0.7857,0.7857
,Error,-0.593033705849061,-0.592536330543864,-0.592416359949785
,Phase Error,0.349457523825263,0.349151908204648,0.349078196552797
,xPHCAL,63,63,63

,Active Energy

,Wt1600MeasureFirstEnergy,1.456083,1.456083,1.456083
,Wt1600MeasureSecondEnergy,4.40799,4.40799,4.40799
,Corresponding reg value for 1st,8290,8320,8352
,Line Cycles,10000,10000,10000
,Reg values For second intergration,25432,25538,25553
,Line cycle for 2nd,200,200,200
,Offset,-7.14756144204586,-7.4707535335318,-5.72775458446786
,xWATTOS,-30.6985426397376,-32.0866421029955,-24.6005186198035

,Reactive Energy

,Wt1600MeasureFirstEnergy,7.45946456739249,7.45946456739249,7.45946456739249
,Wt1600MeasureSecondEnergy,0.696936470591748,0.696936470591748,0.696936470591748
,Corresponding reg value for 1st,27588,27681,27704
,Line Cycles,10000,10000,10000
,Reg values For second intergration,3649,3661,3664
,Line cycle for 2nd,200,200,200
,Offset,-21.469277065588,-21.535621561816,-21.4925633838648
,xWATTOS,-92.2098428654634,-92.4947903070323,-92.3098568409064
